,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
222,btc,2020-03-21T00:00:00.000000000Z,637554,102033438.88331154,6174.14947603741,238359
223,btc,2020-03-22T00:00:00.000000000Z,579901,104501989.82403682,6175.83102220924,215499
224,btc,2020-03-23T00:00:00.000000000Z,667486,92159235.12041043,5830.56097960257,256978
225,btc,2020-03-24T00:00:00.000000000Z,736233,108616241.39191228,6486.40865733489,280363
226,btc,2020-03-25T00:00:00.000000000Z,587460,75702228.84890854,6775.05761893629,219772
227,btc,2020-03-26T00:00:00.000000000Z,889704,111836546.3991491,6689.96901285798,286521
228,btc,2020-03-27T00:00:00.000000000Z,807651,107197274.86378047,6754.46033606078,273175
229,btc,2020-03-28T00:00:00.000000000Z,627230,93365368.42974424,6490.79541502046,241957
230,btc,2020-03-29T00:00:00.000000000Z,591287,104430893.57697324,6231.81989023963,234751
231,btc,2020-03-30T00:00:00.000000000Z,770915,101664512.29016598,5904.85758679135,278279
232,btc,2020-03-31T00:00:00.000000000Z,816889,109963656.15058772,6436.90570017534,288338
233,btc,2020-04-01T00:00:00.000000000Z,824108,105814084.22037683,6432.3832421391,285331
234,btc,2020-04-02T00:00:00.000000000Z,798186,105814084.22037683,6643.11000870836,300020
235,btc,2020-04-03T00:00:00.000000000Z,750332,91290582.4646388,6792.74222209234,276158
236,btc,2020-04-04T00:00:00.000000000Z,657862,108580465.50718409,6751.90255178258,255653
237,btc,2020-04-05T00:00:00.000000000Z,596364,121029181.2978167,6859.98916867329,237774
238,btc,2020-04-06T00:00:00.000000000Z,780832,88524201.17783155,6790.81247264758,282652
239,btc,2020-04-07T00:00:00.000000000Z,938358,116188014.04590404,7298.17374517826,310534
240,btc,2020-04-08T00:00:00.000000000Z,760207,103260704.52088556,7187.59333664524,283150
241,btc,2020-04-09T00:00:00.000000000Z,730620,112650577.82639459,7372.19476399766,289249
242,btc,2020-04-10T00:00:00.000000000Z,735297,119234053.15391117,7299.57918790181,286082
243,btc,2020-04-11T00:00:00.000000000Z,634944,116308064.11945938,6859.82267475161,249141
244,btc,2020-04-12T00:00:00.000000000Z,618062,111919080.56778164,6883.18222895967,232510
245,btc,2020-04-13T00:00:00.000000000Z,764583,125086031.2228148,6978.66628661601,281944
246,btc,2020-04-14T00:00:00.000000000Z,843493,122891539.44697595,6863.57553319696,303129
247,btc,2020-04-15T00:00:00.000000000Z,926278,123623036.70558889,6875.53850344828,309402
248,btc,2020-04-16T00:00:00.000000000Z,880665,112650577.82639459,6625.47577510228,321911
249,btc,2020-04-17T00:00:00.000000000Z,844316,92900151.8438449,7127.79228223261,287202
250,btc,2020-04-18T00:00:00.000000000Z,847811,115576566.86084642,7081.39519842197,285552
251,btc,2020-04-19T00:00:00.000000000Z,718815,111187583.3091687,7262.79234360023,254065
252,btc,2020-04-20T00:00:00.000000000Z,842251,117771058.63668527,7150.2442154588,307154
253,btc,2020-04-21T00:00:00.000000000Z,818062,116039619.81187667,6853.27341478667,311455
254,btc,2020-04-22T00:00:00.000000000Z,762361,103923467.23346883,6870.42369865576,283681
255,btc,2020-04-23T00:00:00.000000000Z,935989,112649865.24543951,7123.65691992987,327396
256,btc,2020-04-24T00:00:00.000000000Z,893187,114236483.06579782,7488.60516528346,317682
257,btc,2020-04-25T00:00:00.000000000Z,813456,107890011.7843646,7506.44331648159,278517
258,btc,2020-04-26T00:00:00.000000000Z,724250,108683320.69454375,7537.73820911748,257046
259,btc,2020-04-27T00:00:00.000000000Z,876229,111856556.33526036,7684.06852168322,311090
260,btc,2020-04-28T00:00:00.000000000Z,926669,122169572.16758937,7777.49151858562,326468
261,btc,2020-04-29T00:00:00.000000000Z,911617,115029791.97597697,7769.89969842197,330308
262,btc,2020-04-30T00:00:00.000000000Z,947585,107096702.87418543,8761.83716954997,320861
263,btc,2020-05-01T00:00:00.000000000Z,955523,111856556.33526036,8652.4109912332,330551
264,btc,2020-05-02T00:00:00.000000000Z,970554,117409718.70651443,8855.53525827002,292646
265,btc,2020-05-03T00:00:00.000000000Z,909805,133275896.91009754,8977.28170537697,283545
266,btc,2020-05-04T00:00:00.000000000Z,889636,125342807.80830598,8896.7956383986,324017
267,btc,2020-05-05T00:00:00.000000000Z,970464,126330903.87563805,8881.95430450029,327645
268,btc,2020-05-06T00:00:00.000000000Z,972369,123288445.65559772,8985.8795993571,334650
269,btc,2020-05-07T00:00:00.000000000Z,1020443,117684425.39852506,9266.8130730567,343684
270,btc,2020-05-08T00:00:00.000000000Z,949216,109678682.17413558,9993.75317685564,324693
271,btc,2020-05-09T00:00:00.000000000Z,906900,108878107.85169664,9859.32360461718,310119
272,btc,2020-05-10T00:00:00.000000000Z,869262,136097634.81462088,9577.33892238457,283795
273,btc,2020-05-11T00:00:00.000000000Z,999192,125690168.62291455,8715.03329322034,311653
274,btc,2020-05-12T00:00:00.000000000Z,954129,116883851.07608612,8591.65288433665,342304
275,btc,2020-05-13T00:00:00.000000000Z,858458,95268344.37023449,8817.25068112215,299956
276,btc,2020-05-14T00:00:00.000000000Z,880861,91265472.75803976,9322.99720204559,268116
277,btc,2020-05-15T00:00:00.000000000Z,895670,100071790.3048682,9801.26948772647,311224
278,btc,2020-05-16T00:00:00.000000000Z,880534,100872364.62730715,9326.87585891292,295280
279,btc,2020-05-17T00:00:00.000000000Z,763444,81658580.88877237,9395.4753893045,236007
280,btc,2020-05-18T00:00:00.000000000Z,970423,102473513.27218504,9682.5324811806,275691
281,btc,2020-05-19T00:00:00.000000000Z,890493,92066047.08047871,9726.85002209235,272964
282,btc,2020-05-20T00:00:00.000000000Z,865708,86731596.76375672,9754.20146201052,276199
283,btc,2020-05-21T00:00:00.000000000Z,928630,98579623.70355071,9515.702550263,302259
284,btc,2020-05-22T00:00:00.000000000Z,797526,83529299.47400093,9068.80122933957,278942
